Unnamed: 0,Age,Sex,Job,Housing,Credit amount,Duration,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Saving accounts_moderate,Saving accounts_quite rich,Saving accounts_rich,Saving accounts_unknown,Checking account_moderate,Checking account_rich,Checking account_unknown,Risk_good
0,67,1,2,1,1169,6,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
1,22,0,2,1,5951,48,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2,49,1,1,1,2096,12,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
3,45,1,2,0,7882,42,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
4,53,1,2,0,4870,24,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,35,1,1,0,9055,36,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True
6,53,1,2,1,2835,24,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True
7,35,1,3,2,6948,36,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
8,61,1,1,1,3059,12,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True
9,28,1,3,1,5234,30,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
10,25,0,2,2,1295,12,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
11,24,0,2,2,4308,48,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,22,0,2,1,1567,12,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
13,60,1,1,1,1199,24,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,28,0,2,2,1403,15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
15,32,0,1,1,1282,24,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
16,53,1,2,1,2424,24,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True
17,25,1,2,1,8072,30,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
18,44,0,3,0,12579,24,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
19,31,1,2,1,3430,24,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True
20,48,1,2,1,2134,9,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
21,44,1,2,2,2647,6,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
22,48,1,1,2,2241,10,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
23,44,1,2,1,1804,12,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
24,26,1,2,1,2069,10,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True
25,36,1,1,1,1374,6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
26,39,1,1,1,426,6,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
27,42,0,2,2,409,12,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
28,34,1,2,1,2415,7,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
29,63,1,2,1,6836,60,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,36,1,2,1,1913,18,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
31,27,1,2,1,4020,24,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
32,30,1,2,1,5866,18,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
33,57,1,1,2,1264,12,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
34,33,0,3,1,1474,12,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True
35,25,1,1,1,4746,45,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
36,31,1,2,0,6110,48,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
37,37,1,2,1,2100,18,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
38,37,1,2,1,1225,10,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
39,24,1,2,1,458,9,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
40,30,1,3,1,2333,30,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True
41,26,1,2,1,1158,12,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
42,44,1,1,1,6204,18,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
43,24,1,2,2,6187,30,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
44,58,0,1,0,6143,48,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,35,0,3,1,1393,11,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
46,39,1,2,1,2299,36,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True
47,23,0,0,2,1352,6,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
48,39,1,1,1,7228,11,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
49,28,0,2,1,2073,12,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True
50,29,1,1,1,2333,24,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True
51,30,1,3,1,5965,27,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
52,25,1,2,1,1262,12,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
53,31,1,2,1,3378,18,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True
54,57,1,2,0,2225,36,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
55,26,1,1,1,783,6,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True
56,52,1,3,1,6468,12,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
57,31,0,2,1,9566,36,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
58,23,0,3,1,1961,18,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
59,23,0,1,2,6229,36,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
60,27,1,2,1,1391,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
61,50,1,2,1,1537,15,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True
62,61,1,3,0,1953,36,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
63,25,1,2,1,14421,48,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
64,26,0,2,1,3181,24,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
65,48,1,2,1,5190,27,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True
66,29,0,2,1,2171,12,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
67,22,1,2,1,1007,12,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True
68,37,1,2,0,1819,36,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
69,25,0,2,1,2394,36,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True
70,30,0,2,1,8133,36,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
71,46,1,1,2,730,7,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True
72,51,1,3,0,1164,8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
73,41,0,1,1,5954,42,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
74,40,1,3,1,1977,36,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
75,66,1,3,0,1526,12,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
76,34,1,2,1,3965,42,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
77,51,1,2,1,4771,11,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
78,39,1,1,1,9436,54,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True
79,22,1,2,1,3832,30,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
80,44,0,2,1,5943,24,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
81,47,1,2,1,1213,15,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True
82,24,0,1,2,1568,18,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
83,58,0,1,1,1755,24,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
84,52,1,1,1,2315,10,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
85,29,0,3,1,1412,12,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
86,27,0,2,1,1295,18,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
87,47,1,2,0,12612,36,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
88,30,1,3,1,2249,18,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
89,28,1,2,1,1108,12,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
90,56,1,2,1,618,12,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
91,54,1,2,1,1409,12,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
92,33,0,1,1,797,12,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
93,20,1,2,2,3617,24,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
94,54,1,2,1,1318,12,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True
95,58,1,2,2,15945,54,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
96,61,0,2,1,2012,12,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True
97,34,1,2,1,2622,18,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
98,36,1,2,1,2337,36,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
99,36,1,3,2,7057,20,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True
100,41,1,1,2,1469,24,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True
